PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,0,2,22.0,1,0,7.25,0,1,0,0,1
2,1,0,38.0,1,0,71.2833,1,0,1,0,0
3,1,2,26.0,0,0,7.925,1,0,0,0,1
4,1,0,35.0,1,0,53.1,1,0,0,0,1
5,0,2,35.0,0,0,8.05,0,1,0,0,1
6,0,2,,0,0,8.4583,0,1,0,1,0
7,0,0,54.0,0,0,51.8625,0,1,0,0,1
8,0,2,2.0,3,1,21.075,0,1,0,0,1
9,1,2,27.0,0,2,11.1333,1,0,0,0,1
10,1,1,14.0,1,0,30.0708,1,0,1,0,0
11,1,2,4.0,1,1,16.7,1,0,0,0,1
12,1,0,58.0,0,0,26.55,1,0,0,0,1
13,0,2,20.0,0,0,8.05,0,1,0,0,1
14,0,2,39.0,1,5,31.275,0,1,0,0,1
15,0,2,14.0,0,0,7.8542,1,0,0,0,1
16,1,1,55.0,0,0,16.0,1,0,0,0,1
17,0,2,2.0,4,1,29.125,0,1,0,1,0
18,1,1,,0,0,13.0,0,1,0,0,1
19,0,2,31.0,1,0,18.0,1,0,0,0,1
20,1,2,,0,0,7.225,1,0,1,0,0
21,0,1,35.0,0,0,26.0,0,1,0,0,1
22,1,1,34.0,0,0,13.0,0,1,0,0,1
23,1,2,15.0,0,0,8.0292,1,0,0,1,0
24,1,0,28.0,0,0,35.5,0,1,0,0,1
25,0,2,8.0,3,1,21.075,1,0,0,0,1
26,1,2,38.0,1,5,31.3875,1,0,0,0,1
27,0,2,,0,0,7.225,0,1,1,0,0
28,0,0,19.0,3,2,263.0,0,1,0,0,1
29,1,2,,0,0,7.8792,1,0,0,1,0
30,0,2,,0,0,7.8958,0,1,0,0,1
31,0,0,40.0,0,0,27.7208,0,1,1,0,0
32,1,0,,1,0,146.5208,1,0,1,0,0
33,1,2,,0,0,7.75,1,0,0,1,0
34,0,1,66.0,0,0,10.5,0,1,0,0,1
35,0,0,28.0,1,0,82.1708,0,1,1,0,0
36,0,0,42.0,1,0,52.0,0,1,0,0,1
37,1,2,,0,0,7.2292,0,1,1,0,0
38,0,2,21.0,0,0,8.05,0,1,0,0,1
39,0,2,18.0,2,0,18.0,1,0,0,0,1
40,1,2,14.0,1,0,11.2417,1,0,1,0,0
